AIRLINE,vols,vols_longs,part_vols_longs,taux_retard,retard_moyen,distance_moyenne,compagnie
VX,61248,26462,43.20467607105538,19.23001567398119,4.7377057,1404.3775306948799,Virgin America
UA,507762,172214,33.91628361318886,20.62422946183448,5.431594,1271.683948385267,United Air Lines Inc.
AS,171439,47598,27.763811034828716,13.037873529360297,-0.9765631,1198.685369140044,Alaska Airlines Inc.
B6,262042,54599,20.83597285931263,22.582257806000563,6.6778607,1063.0502667511314,JetBlue Airways
HA,76041,14893,19.585486776870372,11.333359634933785,2.0230927,632.0270248944648,Hawaiian Airlines Inc.
US,194223,37903,19.515196449442136,18.818059653079192,3.706209,915.3802587747074,US Airways Inc.
AA,712935,137841,19.33430116350018,18.273615406734134,3.4513721,1042.3725837558823,American Airlines Inc.
DL,870275,147800,16.98313751400419,13.561575364109046,0.18675362,853.5969814139208,Delta Air Lines Inc.
NK,115193,16548,14.365456234319792,29.70753431198076,14.4718,985.7763232140842,Spirit Air Lines
F9,90090,12478,13.850593850593851,26.162726162726162,12.504706,967.1560217560218,Frontier Airlines Inc.
WN,1242403,104814,8.436393022231917,19.04583295436344,4.3749638,741.7546528783333,Southwest Airlines Co.
OO,576814,5740,0.995121477634038,18.687999944522847,5.845652,497.72730204190606,Skywest Airlines Inc.
EV,554752,0,0.0,19.681587448084912,6.5853786,461.7018505566451,Atlantic Southeast Airlines
MQ,278791,0,0.0,21.717702508330614,6.4578733,422.66141661674874,American Eagle Airlines Inc.
