ROUTE,vols,annulations,distance,taux_annulation,origine,destination,rang,part_routes_cumulee,part_annulations_cumulee
BOS -> LGA,7096,443,184.0,6.242953776775648,BOS,LGA,1,0.021308331557639035,0.5066910671394258
LGA -> BOS,7100,441,184.0,6.211267605633803,LGA,BOS,2,0.04261666311527807,1.0110945899576804
LGA -> ORD,9639,435,733.0,4.5129162776221605,LGA,ORD,3,0.06392499467291711,1.5086354798124213
ORD -> LGA,9575,408,733.0,4.261096605744125,ORD,LGA,4,0.08523332623055614,1.9752945213313506
LAX -> SFO,13457,342,337.0,2.541428252953853,LAX,SFO,5,0.10654165778819519,2.36646460025163
LGA -> DCA,4303,340,214.0,7.901464094817569,LGA,DCA,6,0.12784998934583422,2.7553471348507377
SFO -> LAX,13744,338,337.0,2.4592549476135037,SFO,LAX,7,0.14915832090347325,3.1419421251286743
DCA -> LGA,4303,334,214.0,7.762026493144318,DCA,LGA,8,0.17046665246111228,3.5239620267642686
DCA -> BOS,7686,271,399.0,3.525891230809264,DCA,BOS,9,0.19177498401875134,3.833924282282969
BOS -> DCA,7687,266,399.0,3.4603876674905685,BOS,DCA,10,0.21308331557639038,4.138167676998742
MKE -> ORD,4826,240,67.0,4.973062577704103,MKE,ORD,11,0.2343916471340294,4.412672995539289
ATL -> LGA,8234,231,762.0,2.805440854991499,ATL,LGA,12,0.25569997869166844,4.676884364634565
LGA -> ATL,8215,229,762.0,2.787583688374924,LGA,ATL,13,0.2770083102493075,4.93880818940867
LAX -> OAK,6288,227,337.0,3.6100508905852418,LAX,OAK,14,0.2983166418069465,5.198444469861604
OAK -> LAX,6281,226,337.0,3.5981531603247894,OAK,LAX,15,0.31962497336458556,5.456936978153952
LGA -> CLE,2692,225,419.0,8.358098068350667,LGA,CLE,16,0.34093330492222457,5.714285714285714
CLE -> LGA,2682,221,419.0,8.240119313944817,CLE,LGA,17,0.3622416364798636,5.967059361775134
HOU -> DAL,6296,217,239.0,3.446632782719187,HOU,DAL,18,0.3835499680375027,6.2152579206222125
ORD -> MKE,4824,213,67.0,4.41542288557214,ORD,MKE,19,0.4048582995951417,6.458881390826947
CVG -> ORD,4115,209,264.8386391251519,5.078979343863913,CVG,ORD,20,0.42616663115278075,6.697929772389339
