ROUTE,vols,annulations,distance,taux_annulation,origine,destination,rang,part_routes_cumulee,part_annulations_cumulee
ORF -> LGA,402,61,296.0,15.17412935323383,ORF,LGA,360,7.670999360750052,43.95973921994739
LGA -> ORF,515,68,296.0,13.203883495145632,LGA,ORF,302,6.43511613040699,39.72778222578062
DCA -> JFK,996,114,213.0,11.44578313253012,DCA,JFK,105,2.237374813552099,20.62106828319799
JFK -> DCA,1002,106,213.0,10.578842315369261,JFK,DCA,123,2.6209247815896015,22.858286629303443
RDU -> LGA,1878,197,431.0,10.489882854100106,RDU,LGA,21,0.44747496271041975,6.923252888024706
LGA -> BHM,490,51,866.0,10.408163265306122,LGA,BHM,465,9.908374174302152,50.607343017270956
CHO -> LGA,396,41,305.0,10.353535353535353,CHO,LGA,602,12.8276155976987,57.70444927370468
LGA -> GSO,1295,134,461.0,10.347490347490346,LGA,GSO,67,1.4276582143618155,15.263639483014984
LGA -> DAY,403,41,549.0,10.173697270471465,LGA,DAY,601,12.806307266141062,57.65755461512067
GSO -> LGA,1295,129,461.0,9.961389961389962,GSO,LGA,77,1.640741529938206,16.765412329863892
DAY -> LGA,403,39,549.0,9.67741935483871,DAY,LGA,646,13.765182186234817,59.69118151664189
SUN -> SLC,672,65,222.0,9.672619047619047,SUN,SLC,324,6.903899424675047,41.38968317511152
