rang,ROUTE,origine,destination,vols,annulations,taux_annulation,distance,ville_origine,ville_destination
1,BOS -> LGA,BOS,LGA,7096,443,6.242953776775648,184.0,Boston,New York
2,LGA -> BOS,LGA,BOS,7100,441,6.211267605633803,184.0,New York,Boston
3,LGA -> ORD,LGA,ORD,9639,435,4.5129162776221605,733.0,New York,Chicago
4,ORD -> LGA,ORD,LGA,9575,408,4.261096605744125,733.0,Chicago,New York
5,LAX -> SFO,LAX,SFO,13457,342,2.541428252953853,337.0,Los Angeles,San Francisco
6,LGA -> DCA,LGA,DCA,4303,340,7.901464094817569,214.0,New York,Arlington
7,SFO -> LAX,SFO,LAX,13744,338,2.4592549476135037,337.0,San Francisco,Los Angeles
8,DCA -> LGA,DCA,LGA,4303,334,7.762026493144318,214.0,Arlington,New York
9,DCA -> BOS,DCA,BOS,7686,271,3.525891230809264,399.0,Arlington,Boston
10,BOS -> DCA,BOS,DCA,7687,266,3.4603876674905685,399.0,Boston,Arlington
11,MKE -> ORD,MKE,ORD,4826,240,4.973062577704103,67.0,Milwaukee,Chicago
12,ATL -> LGA,ATL,LGA,8234,231,2.805440854991499,762.0,Atlanta,New York
13,LGA -> ATL,LGA,ATL,8215,229,2.787583688374924,762.0,New York,Atlanta
14,LAX -> OAK,LAX,OAK,6288,227,3.6100508905852418,337.0,Los Angeles,Oakland
15,OAK -> LAX,OAK,LAX,6281,226,3.5981531603247894,337.0,Oakland,Los Angeles
